Transcript	GeneName
NM_002156	HSPD1
NM_025147	COQ10B
NM_001202485	HSPE1-MOB4
NM_138395	MARS2
NM_197970	BOLL
NR_026830	SATB2-AS1
NM_153689	C2orf69
NM_024520	C2orf47
NM_152524	SGOL2
NM_152387	KCTD18
NM_001207069	BZW1
NM_001136039	NIF3L1
NM_006190	ORC2
NM_032472	PPIL3
NM_002491	NDUFB3
NM_032977	CASP10
NR_040030	CFLAR-AS1
NM_001127391	ALS2CR12
NM_001080125	CASP8
NM_018571	STRADB
NM_033066	MPP4
NM_001261435	CDK15
NR_003031	SNORD11
NM_001005781	SUMO1
NR_003058	SNORD70
NR_003694	SNORD11B
NM_018256	WDR12
NM_177538	CYP20A1
NM_012092	ICOS
NM_017759	INO80D
NM_001199984	NDUFS1
NR_002590	SNORA41
NR_002589	SNORD51
NM_001037663	EEF1B2
NM_001261455	GPR1
NR_033248	GCSHP3
NM_020923	ZDBF2
NM_001093730	DYTN
NM_001102659	LOC200726
NR_036077	MIR3130-1
NR_036078	MIR3130-2
NM_001136194	FASTKD2
NM_173077	CPO
NM_001270944	KLF7
NR_036227	MIR2355
NM_001127395	METTL21A
NM_003468	FZD5
NM_001142300	CCNYL1
NM_006891	CRYGD
NM_005210	CRYGB
NM_001099334	C2orf80
NM_020989	CRYGC
NR_038437	LOC100507443
NM_005896	IDH1
NR_046452	IDH1-AS1
NM_199229	RPE
NM_001608	ACADL
NM_001136574	LANCL1
NM_001875	CPS1
NR_002763	CPS1-IT1
NR_031643	MIR548F2
NR_039936	MIR4776-2
NR_039935	MIR4776-1
NM_001242575	LOC100130451
NR_047698	VWC2L-IT1
NM_004044	ATIC
NM_018000	MREG
NM_001142311	TMEM169
NR_037701	PKI55
NM_000998	RPL37A
NM_000599	IGFBP5
NM_000597	IGFBP2
NM_003284	TNP1
NM_001557	CXCR2
NM_198483	RUFY4
NR_002712	CXCR2P1
NM_152862	ARPC2
NM_000634	CXCR1
NM_170699	GPBAR1
NM_001087	AAMP
NM_001206878	CTDSP1
NM_198559	CATIP
NR_029500	MIR26B
NM_000578	SLC11A1
NM_007127	VIL1
NM_001271634	RQCD1
NM_032726	PLCD4
NM_001105537	ZNF142
NM_022453	RNF25
NM_001079866	BCS1L
NM_014640	TTLL4
NM_017431	PRKAG3
NM_006522	WNT6
NM_025216	WNT10A
NM_017521	FEV
NM_002181	IHH
NR_036081	MIR3131
NR_029867	MIR375
NM_003936	CDK5R2
NM_194302	CCDC108
NM_057094	CRYBA2
NR_024385	LINC00608
NR_046086	LOC100129175
NM_015680	CNPPD1
NM_024782	NHEJ1
NM_024293	FAM134A
NM_001144890	SLC23A3
NR_029688	MIR153-1
NM_001007089	RESP18
NR_003063	TUBA4B
NM_024506	GLB1L
NM_002846	PTPRN
NM_001008910	STK16
NM_018089	ANKZF1
NM_006736	DNAJB2
NM_006000	TUBA4A
NM_024085	ATG9A
NM_138802	ZFAND2B
NM_005689	ABCB6
NM_012100	DNPEP
NM_001927	DES
NM_015311	OBSL1
NM_002191	INHA
NR_036082	MIR3132
NM_024536	CHPF
NM_013335	GMPPA
NM_001005209	TMEM198
NM_182847	ASIC4
NM_201574	SLC4A3
NR_036228	MIR4268
NM_153038	CCDC140
NM_058165	MOGAT1
NM_080671	KCNE4
NM_003469	SCG2
NM_006216	SERPINE2
NM_022915	MRPL44
NM_001122779	FAM124B
NR_039641	MIR4439
NR_049887	MIR5702
NM_005544	IRS1
NR_102371	LOC654841
NM_024795	TM4SF20
NM_001135187	AGFG1
NR_049888	MIR5703
NM_025243	SLC19A3
NM_020161	C2orf83
NM_004591	CCL20
NM_178821	DAW1
NM_152527	SLC16A14
NM_007237	SP140
NR_040038	LOC151475
NR_038238	LOC151484
NM_005683	GPR55
NR_033879	SPATA3-AS1
NM_000867	HTR2B
NM_001144994	C2orf72
NR_039937	MIR4777
NR_024079	LINC00471
NM_005381	NCL
NR_002908	SNORD20
NR_002921	SNORA75
NR_004398	SNORD82
NM_145236	B3GNT7
NM_152614	C2orf57
NM_002601	PDE6D
NM_001099285	PTMA
NR_031717	MIR1471
NM_024409	NPPC
NM_001632	ALPP
NM_031313	ALPPL2
NR_028501	ECEL1P2
NM_000751	CHRND
NM_004826	ECEL1
NM_004846	EIF4E2
NM_001631	ALPI
NM_005199	CHRNG
NM_145702	TIGD1
NM_001195129	PRSS56
NM_025202	EFHD1
NM_002242	KCNJ13
NM_206895	C2orf82
NM_005383	NEU2
NR_003008	SCARNA5
NR_003006	SCARNA6
NM_030803	ATG16L1
NM_018218	USP40
NM_007120	UGT1A4
NR_037694	LOC100286922
NM_001001394	DNAJB3
NR_024322	MSL3P1
NM_006944	SPP2
NM_001485	GBX2
NM_020311	ACKR3
NM_006710	COPS8
NM_022449	RAB17
NM_015893	PRLH
NM_001137552	LRRFIP1
NM_001080504	RBM44
NM_016510	SCLY
NM_198582	KLHL30
NM_194312	ESPNL
NM_018645	HES6
NM_022817	PER2
NM_030768	ILKAP
NR_026923	LOC643387
NR_026926	LOC151174
NM_015650	TRAF3IP1
NR_037809	LINC01107
NR_034162	FLJ43879
NM_001271893	TWIST2
NR_039642	MIR4440
NR_026664	MGC16025
NR_039643	MIR4441
NR_036229	MIR4269
NR_039948	MIR2467
NR_037808	LOC150935
NR_039949	MIR4786
NM_001080835	PRR21
NM_173351	OR6B3
NM_001005853	OR6B2
NM_138336	MYEOV2
NM_148961	OTOS
NM_002081	GPC1
NR_024014	PP14571
NR_029702	MIR149
NM_023083	CAPN10
NM_001033575	DUSP28
NM_018226	RNPEPL1
NM_198998	AQP12A
NM_001102467	AQP12B
NM_000030	AGXT
NR_033841	LOC200772
NM_001252119	PASK
NM_182501	MTERF4
NM_001001891	ANO7
NM_203346	HDLBP
NM_006155	SEPT2
NM_006374	STK25
NM_013325	ATG4B
NR_033346	BOK-AS1
NM_015963	THAP4
NM_032515	BOK
NM_032329	ING5
NM_012145	DTYMK
NM_152783	D2HGDH
NM_022134	GAL3ST2
NM_001167600	NEU4
NM_173821	RTP5
NM_005018	PDCD1
NR_024437	LOC728323
NM_015192	PLCB1
NM_020884	MYH7B
NR_046099	MIR646HG
NM_006045	ATP9A
NM_080836	STK35
NM_080676	MACROD2
NM_001009608	SLX4IP
NM_000933	PLCB4
NM_001242581	RIN2
NM_033118	MYLK2
NM_021215	RPRD1B
NM_002895	RBL1
NM_133170	PTPRT
NM_015035	ZHX3
NM_080834	CNBD2
NM_001030004	HNF4A
NM_181659	NCOA3
NM_144498	OSBPL2
NM_153269	C20orf96
NM_031229	RBCK1
NM_001895	CSNK2A1
NM_033129	SCRT2
NM_006065	SIRPB1
NM_001190900	PDYN
NM_016143	NSFL1C
NR_040048	SDCBP2-AS1
NM_080751	TMC2
NM_080841	PTPRA
NM_139321	ATRN
NM_001134338	RNF24
NM_023068	SIGLEC1
NM_001009984	C20orf194
NM_003818	CDS2
NM_203327	SLC23A2
NR_024267	PRNT
NM_152611	LRRN4
NM_152504	C20orf196
NM_001819	CHGB
NM_017545	HAO1
NM_021156	TMX4
NM_177990	PAK7
NM_003081	SNAP25
NR_040710	SNAP25-AS1
NM_017714	TASP1
NM_080826	ISM1
NM_018327	SPTLC3
NM_001271539	SEL1L2
NM_001276380	ESF1
NM_001199866	KIF16B
NM_001159495	BANF2
NM_006870	DSTN
NM_002594	PCSK2
NM_052865	MGME1
NM_080820	DTD1
NM_020689	SLC24A3
NM_015585	CFAP61
NM_020343	RALGAPA2
NM_012255	XRN2
NR_001558	LINC00261
NM_032501	ACSS1
NM_024893	SYNDIG1
NM_015600	ABHD12
NM_021067	GINS1
NM_025176	NINL
NR_045677	DEFB122
NM_178581	HM13
NR_003579	FRG1B
NM_138578	BCL2L1
NM_001172133	HCK
NM_015352	POFUT1
NM_053041	COMMD7
NM_030815	PDRG1
NM_001256798	NOL4L
NR_034152	LOC149950
NM_080675	SUN5
NM_001032999	CBFA2T2
NM_032819	ZNF341
NM_016082	CDK5RAP1
NM_016732	RALY
NM_080476	PIGU
NM_021202	TP53INP2
NM_001257137	ITCH
NR_039911	MIR4755
NM_018244	UQCC1
NM_006690	MMP24
NM_016436	PHF20
NM_007186	CEP250
NM_032214	SLA2
NM_024918	DSN1
NM_015474	SAMHD1
NM_014902	DLGAP4
NM_080628	TLDC2
NM_152503	MROH8
NM_030877	CTNNBL1
NM_080607	VSTM2L
NR_040021	LOC100287792
NM_015568	PPP1R16B
NM_021931	DHX35
NM_001725	BPI
NM_080552	SLC32A1
NM_003286	TOP1
NM_032221	CHD6
NM_016276	SGK2
NM_002466	MYBL2
NM_001098797	TOX2
NM_001039199	TTPAL
NM_006282	STK4
NM_000022	ADA
NM_001205317	RIMS4
NM_139323	YWHAB
NM_022104	PCIF1
NM_020967	NCOA5
NM_052951	DNTTIP1
NM_001198986	EPPIN-WFDC6
NM_021248	CDH22
NM_183047	ZMYND8
NM_005244	EYA2
NM_022829	SLC13A3
NM_030777	SLC2A10
NM_018837	SULF2
NM_001316	CSE1L
NM_006420	ARFGEF2
NM_020820	PREX1
NM_017895	DDX27
NM_015266	SLC9A8
NM_002827	PTPN1
NM_199203	TMEM189-UBE2V1
NM_017843	BCAS4
NR_036162	MIR3194
NM_181442	ADNP
NM_173091	NFATC2
NM_001193421	TSHZ2
NM_018431	DOK5
NM_016407	RTFDC1
NM_001719	BMP7
NM_017495	RBM38
NM_020182	PMEPA1
NM_001269043	CTCFL
NM_004738	VAPB
NM_020673	RAB22A
NR_002785	GNAS-AS1
NM_024663	NPEPL1
NR_034147	APCDD1L-AS1
NM_178457	ZNF831
NM_080672	PHACTR3
NM_014258	SYCP2
NM_003185	TAF4
NM_001794	CDH4
NM_002531	NTSR1
NM_006602	TCFL5
NR_003244	HAR1A
NM_001958	EEF1A2
NM_025224	ZBTB46
NM_199360	TPD52L2
NM_012469	PRPF6
NM_153325	DEFB125
NM_030931	DEFB126
NM_001037732	DEFB128
NM_207469	DEFB132
NM_080831	DEFB129
NM_139074	DEFB127
NM_033089	ZCCHC3
NM_006943	SOX12
NM_024958	NRSN2
NM_021158	TRIB3
NM_144628	TBC1D20
NM_004609	TCF15
NM_080725	SRXN1
NM_033409	SLC52A3
NM_015985	ANGPT4
NM_001042353	FAM110A
NM_001029871	RSPO4
NM_006814	PSMF1
NM_018354	TMEM74B
NM_001199784	SDCBP2
NM_001136566	RAD21L1
NM_001009612	C20orf202
NM_014723	SNPH
NM_000801	FKBP1A
NM_178460	SIRPD
NM_001122962	SIRPB2
NM_018556	SIRPG
NR_037142	LOC100289473
NM_080792	SIRPA
NM_003245	TGM3
NR_003684	SNORD119
NM_198994	TGM6
NM_198216	SNRPB
NM_024325	ZNF343
NR_003078	SNORD110
NM_006392	NOP56
NR_002981	SNORA51
NM_006899	IDH3B
NR_031699	MIR1292
NM_001110514	EBF4
NM_022575	VPS16
NM_001167670	TMEM239
NM_022760	PCED1A
NM_019609	CPXM1
NM_080739	C20orf141
NM_021826	FASTKD5
NR_038395	UBOX5-AS1
NM_000490	AVP
NM_014948	UBOX5
NM_000915	OXT
NM_001501	GNRH2
NM_030811	MRPS26
NM_001174090	SLC4A11
NM_023935	DDRGK1
NM_033453	ITPA
NM_025220	ADAM33
NM_022139	GFRA4
NM_021873	CDC25B
NM_052970	HSPA12B
NM_015417	SPEF1
NM_001039140	C20orf27
NM_001810	CENPB
NM_020746	MAVS
NR_029519	MIR103A2
NM_153638	PANK2
NM_001204447	AP5S1
NR_031722	MIR103B2
NR_033917	LINC01433
NM_001270691	SMOX
NM_000678	ADRA1D
NM_001271561	PRNP
NM_001080123	PRNP
NM_012409	PRND
NM_170774	RASSF2
NM_001009923	TMEM230
NR_028370	PCNA-AS1
NM_182649	PCNA
NM_144773	PROKR2
NR_029405	LOC643406
NR_038239	LINC00658
NR_015406	LINC00654
NM_019593	GPCPD1
NM_019095	CRLS1
NM_015939	TRMT6
NM_032485	MCM8
NM_017671	FERMT1
NM_001200	BMP2
NM_012261	LAMP5
NM_198798	ANKEF1
NM_170784	MKKS
NM_000214	JAG1
NR_038972	LOC339593
NM_014962	BTBD3
NR_040043	ISM1-AS1
NM_024120	NDUFAF5
NM_013281	FLRT3
NR_072988	MACROD2-AS1
NM_020157	OTOR
NM_198220	SNRPB2
NM_001195	BFSP1
NM_004587	RRBP1
NM_014426	SNX5
NR_003045	SNORD17
NM_021220	OVOL2
NM_001164811	PET117
NM_020536	CSRP2BP
NM_001083330	ZNF133
NM_006466	POLR3F
NM_001099407	DZANK1
NR_036160	MIR3192
NM_006606	RBBP9
NR_034167	LINC00851
NM_032986	SEC23B
NR_015432	LINC00493
NM_001242671	C20orf78
NR_026885	LOC100270804
NM_178483	SCP2D1
NR_026883	LINC00652
NR_024564	LOC100130264
NM_016652	CRNKL1
NM_016100	NAA20
NM_002196	INSM1
NM_018474	KIZ
NM_002509	NKX2-2
NM_033176	NKX2-4
NM_006192	PAX1
NR_038394	LINC01432
NR_027089	LOC284788
NM_021784	FOXA2
NM_012072	CD93
NM_000361	THBD
NM_001052	SSTR4
NR_034149	LINC00656
NM_138283	CSTL1
NM_022080	NAPB
NM_013248	NXT1
NM_022482	GZF1
NM_130794	CST11
NR_001279	CST13P
NM_005492	CST8
NM_001008693	CST9
NM_080610	CST9L
NM_001899	CST4
NM_000099	CST3
NM_001322	CST2
NM_001898	CST1
NM_001900	CST5
NM_178311	GGTLC1
NR_040102	FLJ33581
NM_020531	APMAP
NM_003650	CST7
NR_027091	LOC284798
NM_014588	VSX1
NM_001247	ENTPD6
NM_002862	PYGB
NM_152667	NANP
NM_015655	ZNF337
NR_004846	LOC100134868
NR_026713	FAM182A
NR_003678	NCOR1P1
NR_030386	MIR663A
NR_040095	MIR663AHG
NR_045115	MLLT10P1
NM_001037730	DEFB115
NM_153323	DEFB119
NM_001037731	DEFB116
NM_054112	DEFB118
NM_001171832	DEFB121
NM_153324	DEFB123
NR_003677	MCTS2P
NM_001037500	DEFB124
NM_014012	REM1
NR_024358	LINC00028
NM_002165	ID1
NM_032609	COX4I2
NR_046853	HM13-AS1
NR_036161	MIR3193
NM_012112	TPX2
NM_001008409	TTLL9
NM_004118	FOXS1
NM_080611	DUSP15
NM_001011718	XKR7
NM_080625	CCM2L
NM_014742	TM9SF4
NR_002781	TSPY26P
NM_002657	PLAGL2
NM_004798	KIF3B
NM_015338	ASXL1
NM_182584	C20orf203
NM_006892	DNMT3B
NM_012325	MAPRE1
NM_182519	BPIFB4
NM_174897	BPIFB6
NM_182658	BPIFB3
NM_025227	BPIFB2
NM_178466	BPIFA3
NM_080574	BPIFA2
NM_001243193	BPIFA1
NR_026760	BPIFA4P
NM_033197	BPIFB1
NM_003098	SNTA1
NM_001024675	ACTL10
NM_005225	E2F1
NM_031232	NECAB3
NM_080825	C20orf144
NM_007238	PXMP4
NM_176812	CHMP4B
NM_003908	EIF2S2
NM_001672	ASIP
NM_000687	AHCY
NM_014183	DYNLRB1
NR_030374	MIR644A
NM_032514	MAP1LC3A
NR_002165	HMGB3P1
NM_014071	NCOA6
NM_178026	GGT7
NM_001076552	ACSS2
NM_000178	GSS
NR_030223	MIR499A
NM_015638	TRPC4AP
NR_039912	MIR499B
NM_018217	EDEM2
NM_006404	PROCR
NM_178468	FAM83C
NM_181466	EIF6
NM_000557	GDF5
NM_001145350	C20orf173
NM_003116	SPAG4
NM_198398	ERGIC3
NM_184234	RBM39
NM_001198838	RBM12
NM_152926	CPNE1
NM_021100	NFS1
NM_080748	ROMO1
NM_033630	SCAND1
NR_027451	LINC00657
NM_012156	EPB41L1
NM_001271874	AAR2
NM_006097	MYL9
NM_001199514	TGIF2
NM_032013	NDRG3
NM_080627	SOGA1
NM_002951	RPN2
NM_021081	GHRH
NM_198291	SRC
NM_001003897	MANBAL
NM_001167822	BLCAP
NM_005386	NNAT
NR_047461	LINC00489
NM_014657	TTI1
NM_004613	TGM2
NM_001029864	KIAA1755
NR_003018	SNORA71D
NR_003017	SNORA71C
NM_004139	LBP
NR_002911	SNORA71A
NR_002910	SNORA71B
NR_003239	SNHG11
NR_015366	SNHG17
NM_020336	RALGAPB
NM_001018082	ADIG
NM_001164431	ARHGAP40
NM_024855	ACTR5
NM_030919	FAM83D
NR_027124	LOC339568
NM_005461	MAFB
NM_002660	PLCG1
NM_052846	EMILIN3
NM_006275	SRSF6
NM_032107	L3MBTL1
NM_016004	IFT52
NM_176791	GTSF1L
NM_016470	OSER1
NM_020433	JPH2
NR_038337	OSER1-AS1
NM_001256737	GDAP1L1
NM_178491	R3HDML
NM_001080472	FITM2
NR_037419	MIR3646
NM_000457	HNF4A
NM_007066	PKIG
NM_198941	SERINC3
NM_003881	WISP2
NM_022358	KCNK15
NR_034104	LINC01260
NM_001124756	PABPC1L
NR_038341	STK4-AS1
NM_006809	TOMM34
NM_002251	KCNS1
NM_145652	WFDC5
NM_080869	WFDC12
NM_002638	PI3
NM_003008	SEMG2
NM_003064	SLPI
NM_014477	TP53TG5
NM_014276	RBPJL
NM_003833	MATN4
NM_002999	SDC4
NM_001048225	DBNDD2
NM_033542	SYS1
NM_015937	PIGT
NM_006103	WFDC2
NM_006652	SPINT3
NM_147198	WFDC9
NM_147197	WFDC11
NM_080753	WFDC10A
NM_181510	WFDC8
NM_178455	SPINT4
NM_172006	WFDC10B
NM_172005	WFDC13
NM_080614	WFDC3
NM_007019	UBE2C
NM_006227	PLTP
NM_080603	ZSWIM1
NM_005469	ACOT8
NM_003279	TNNC2
NM_000308	CTSA
NM_033421	SNX21
NM_080608	SPATA25
NM_080752	ZSWIM3
NM_022095	ZNF335
NM_001134771	SLC12A5
NM_004994	MMP9
NM_001250	CD40
NM_182764	ELMO2
NM_015945	SLC35C2
NR_045983	ZNF663P
NM_080721	OCSTAMP
NR_026640	MKRN7P
NM_018102	ZNF334
NM_033550	TP53RK
NR_037410	MIR3616
NR_024594	LOC100131496
NR_026958	LINC00494
NM_017453	STAU1
NR_003030	SNORD12
NR_003695	SNORD12B
NR_002433	SNORD12C
NM_021035	ZNFX1
NR_036659	ZFAS1
NR_003604	ZFAS1
NM_004975	KCNB1
NM_000961	PTGIS
NM_004776	B4GALT5
NM_006038	SPATA2
NM_005985	SNAI1
NM_018683	RNF114
NR_051976	TRERNA1
NM_005194	CEBPB
NR_034124	LINC01270
NR_030375	MIR645
NM_080829	FAM65C
NM_032521	PARD6B
NM_014484	MOCS3
NM_003859	DPM1
NM_002237	KCNG1
NM_020436	SALL4
NM_018197	ZFP64
NM_006526	ZNF217
NR_002189	SUMO1P1
NM_003657	BCAS1
NR_039913	MIR4756
NM_000782	CYP24A1
NM_002623	PFDN4
NM_080617	CBLN4
NM_019888	MC3R
NM_001033521	CSTF1
NM_080821	FAM210B
NM_020356	CASS4
NM_003600	AURKA
NM_001013646	FAM209B
NM_080615	GCNT7
NM_003222	TFAP2C
NM_012444	SPO11
NR_036219	MIR4325
NM_001015885	RAE1
NM_001190472	MTRNR2L3
NM_002591	PCK1
NM_030776	ZBP1
NR_039757	MIR4532
NM_178456	C20orf85
NR_003505	PPP4R1L
NM_153360	APCDD1L
NM_001001433	STX16
NR_029844	MIR296
NR_030580	MIR298
NM_016592	GNAS
NM_080425	GNAS
NM_001336	CTSZ
NM_016045	SLMO2
NM_006886	ATP5E
NM_198976	NELFCD
NM_030773	TUBB1
NM_207034	EDN3
NR_040513	LOC100506384
NM_022106	FAM217B
NM_006242	PPP1R3D
NM_177980	CDH26
NM_173644	C20orf197
NR_039758	MIR4533
NR_031658	MIR1257
NM_015666	MTG2
NM_144703	LSM14B
NM_002792	PSMA7
NM_007232	HRH3
NM_198935	SS18L1
NM_005560	LAMA5
NM_175573	ADRM1
NR_039915	MIR4758
NM_001024	RPS21
NM_080473	GATA5
NM_031215	CABLES2
NM_080833	RBBP8NL
NM_178463	MIR1-1HG
NR_033263	C20orf166-AS1
NR_029780	MIR1-1
NR_024470	SLCO4A1-AS1
NM_016354	SLCO4A1
NR_046224	LINC00659
NM_007346	OGFR
NM_001853	COL9A3
NR_102430	OGFR-AS1
NM_018270	MRGBP
NM_080750	DPH3P1
NM_022082	SLC17A9
NM_001193369	DIDO1
NM_017896	GID8
NM_080606	BHLHE23
NR_033369	LINC01056
NR_028295	LINC00029
NR_003245	HAR1B
NR_033370	LOC63930
NR_029670	MIR124-3
NM_017798	YTHDF1
NR_036220	MIR4326
NM_152864	NKAIN4
NM_175609	ARFGAP1
NM_000744	CHRNA4
NM_139317	BIRC7
NR_024389	FLJ16779
NR_036163	MIR3196
NM_020882	COL20A1
NM_172107	KCNQ2
NM_005975	PTK6
NM_001037335	HELZ2
NM_080823	SRMS
NM_012384	GMEB2
NM_024059	C20orf195
NM_024299	PPDPF
NM_003823	TNFRSF6B
NM_020062	SLC2A4RG
NM_032957	RTEL1
NM_017806	LIME1
NM_032527	ZGPAT
NM_015894	STMN3
NM_001267548	ARFRP1
NM_080622	ABHD16B
NR_030637	MIR941-1
NR_031735	MIR1914
NM_025219	DNAJC5
NM_017859	UCKL1
NR_027287	UCKL1-AS1
NM_020713	ZNF512B
NR_030639	MIR941-3
NR_030377	MIR647
NM_080621	SAMD10
NM_018419	SOX18
NM_001039467	RGS19
NR_027686	LINC00176
NM_005286	NPBWR2
NM_001007125	LKAAEAR1
NM_001200019	OPRL1
NM_003195	TCEA2
NM_004535	MYT1
NM_018257	PCMTD2
NR_040415	LINC00266-1
NM_001389	DSCAM
NR_027790	MIR99AHG
NR_046198	LOC339622
NM_007038	ADAMTS5
NM_000484	APP
NM_003253	TIAM1
NM_006447	USP16
NM_207585	IFNAR2
NM_015358	MORC3
NM_182918	ERG
NM_130438	DYRK1A
NM_001396	DYRK1A
NM_015056	RRP1B
NR_038328	TEKT4P2
NR_026916	ANKRD30BP2
NM_144770	RBM11
NR_027270	ANKRD20A11P
NM_001256370	SAMSN1
NM_003489	NRIP1
NM_001256579	LOC388813
NM_013396	USP25
NM_002772	TMPRSS15
NM_004540	NCAM2
NR_024090	LINC00320
NM_002040	GABPA
NM_052954	CYYR1
NR_024357	LINC00113
NM_000830	GRIK1
NM_020152	MAP3K7CL
NM_199328	CLDN8
NM_014586	HUNK
NM_003895	SYNJ1
NM_014825	URB1
NM_058187	EVA1C
NM_145858	CRYZL1
NM_003024	ITSN1
NM_004414	RCAN1
NM_001754	RUNX1
NM_053277	CLIC6
NM_005128	DOPEY2
NR_073512	LOC100506403
NR_040084	LOC100133286
NM_001242785	HLCS
NM_001001894	TTC3
NM_005867	DSCR4
NM_002240	KCNJ6
NM_018963	BRWD1
NM_004627	WRB
NM_001080444	IGSF5
NM_006198	PCP4
NM_001135099	TMPRSS2
NM_058186	FAM3B
NM_012105	BACE2
NM_173568	UMODL1
NM_004915	ABCG1
NM_022115	PRDM15
NM_080860	RSPH1
NM_007031	HSF2BP
NM_002606	PDE9A
NM_004571	PKNOX1
NM_001037553	AGPAT3
NM_003274	TRAPPC10
NM_002626	PFKL
NM_003683	RRP1
NM_144991	TSPEAR
NM_015833	ADARB1
NM_030582	COL18A1
NM_006031	PCNT
NM_020528	PCBP3
NM_015151	DIP2A
NM_058181	YBEY
NR_037421	MIR3648-1
NR_037458	MIR3687-1
NM_199261	TPTE
NM_001187	BAGE
NR_036164	MIR3156-3
NM_174981	POTED
NR_026755	CYP4F29P
NM_198996	LIPI
NR_003087	ABCC13
NM_006948	HSPA13
NR_046512	SAMSN1-AS1
NR_029514	MIR99A
NR_029480	MIRLET7C
NR_029694	MIR125B2
NR_037585	LINC01549
NM_001338	CXADR
NM_006806	BTG3
NM_001100420	C21orf91
NR_024354	CHODL-AS1
NM_001204174	CHODL
NR_046937	RNU6-67P
NR_038872	LINC00317
NR_038400	LINC00308
NR_040254	D21S2088E
NR_024027	LINC00158
NR_024092	LINC00515
NM_080794	MRPL39
NR_001458	MIR155HG
NM_001270408	JAM2
NM_001003697	ATP5J
NM_006988	ADAMTS1
NR_039916	MIR4759
NR_027246	LINC00314
NR_026552	LINC00161
NM_013240	N6AMT1
NM_015565	LTN1
NM_016940	RWDD2B
NM_006585	CCT8
NR_027072	LINC00189
NM_001186	BACH1
NR_033368	GRIK1-AS2
NR_027021	GRIK1-AS1
NM_012131	CLDN17
NR_038855	LINC00307
NM_001077711	KRTAP27-1
NM_001128598	KRTAP25-1
NM_001085455	KRTAP24-1
NM_203405	KRTAP26-1
NM_181600	KRTAP13-4
NM_181623	KRTAP15-1
NM_181622	KRTAP13-3
NR_036221	MIR4327
NM_181599	KRTAP13-1
NM_181624	KRTAP23-1
NM_181621	KRTAP13-2
NM_181604	KRTAP6-2
NM_181614	KRTAP19-7
NM_181611	KRTAP19-5
NM_181610	KRTAP19-4
NM_181609	KRTAP19-3
NM_181608	KRTAP19-2
NM_001164434	KRTAP22-2
NM_181612	KRTAP19-6
NM_181620	KRTAP22-1
NM_181607	KRTAP19-1
NM_181605	KRTAP6-3
NM_181602	KRTAP6-1
NM_181616	KRTAP20-2
NM_181615	KRTAP20-1
NR_023342	KRTAP20-4
NM_001128077	KRTAP20-3
NM_001164435	KRTAP21-3
NM_181619	KRTAP21-1
NM_181617	KRTAP21-2
NM_175857	KRTAP8-1
NM_175858	KRTAP11-1
NM_001099219	KRTAP19-8
NM_000454	SOD1
NM_020706	SCAF4
NR_038033	LINC00159
NM_178817	MRAP
NM_018944	MIS18A
NR_026845	URB1-AS1
NR_002996	SNORA80A
NM_021254	C21orf59
NM_001162496	C21orf62
NM_016631	PAXBP1
NR_024622	C21orf62-AS1
NR_038880	PAXBP1-AS1
NR_038879	PAXBP1-AS1
NM_138983	OLIG1
NM_005806	OLIG2
NR_024102	LINC01548
NM_000629	IFNAR1
NR_038974	IL10RB-AS1
NM_001040192	DNAJC28
NM_006134	TMEM50B
NM_005534	IFNGR2
NR_040016	TMEM50B
NM_000819	GART
NM_017613	DONSON
NM_138927	SON
NR_038883	LINC00649
NM_032476	MRPS6
NM_006933	SLC5A3
NR_027266	LINC00310
NM_172201	KCNE2
NM_058182	SMIM11
NM_001127670	KCNE1
NR_024351	LINC00160
NR_038885	LINC01426
NR_026812	RUNX1-IT1
NR_030414	MIR802
NM_001757	CBR1
NM_017438	SETD4
NM_001236	CBR3
NR_038892	CBR3-AS1
NM_005441	CHAF1B
NM_012130	CLDN14
NM_005069	SIM2
NM_018962	RIPPLY3
NM_153681	PIGP
NM_006052	DSCR3
NR_026719	DSCR9
NR_027695	DSCR10
NR_026840	DSCR8
NM_170737	KCNJ15
NM_001256295	ETS2
NR_027065	LINC00114
NM_003720	PSMG1
NR_046655	BRWD1-AS1
NM_004965	HMGN1
NM_152505	LCA5L
NM_007341	SH3BGR
NR_026542	B3GALT5-AS1
NM_033170	B3GALT5
NR_039917	MIR4760
NR_038896	DSCAM-AS1
NR_046774	DSCAM-IT1
NR_036167	MIR3197
NR_024100	LINC00323
NM_182832	PLAC4
NM_002463	MX2
NM_001178046	MX1
NR_024367	LINC00111
NM_020639	RIPK4
NR_024028	LINC00112
NR_027272	LINC00479
NM_015500	C2CD2
NM_020727	ZBTB21
NR_027243	UMODL1-AS1
NM_003226	TFF3
NM_005423	TFF2
NM_003225	TFF1
NM_001256317	TMPRSS3
NM_001001895	UBASH3A
NM_018964	SLC37A1
NM_033661	WDR4
NM_021075	NDUFV3
NM_006758	U2AF1
NM_001178008	CBS
NM_000394	CRYAA
NM_173354	SIK1
NR_026863	LINC00313
NR_026960	LINC00319
NM_003681	PDXK
NM_000100	CSTB
NR_026961	AATBC
NM_004649	C21orf33
NM_005049	PWP2
NM_015259	ICOSLG
NM_000383	AIRE
NM_013369	DNMT3L
NM_003307	TRPM2
NM_001271441	C21orf2
NR_047476	LRRC3-AS1
NM_198696	KRTAP10-3
NM_198691	KRTAP10-1
NM_030891	LRRC3
NR_026547	TSPEAR-AS2
